To: 2020-06-12;;
Country;Rating;Review
au;2;Good idea but is chewing severely through the battery life on my phone.
au;1;Still major issues in kicking out other blue tooth connected devices.  I still have it running as a public duty but the devs need to sort it out.
au;3;Well use John Support Apple Watch, and then use do a mega giant of my battery? And then it’s does not support sun with Apple, and then you want to send a verification code to my phone number? No way, everyone away right this stupid ass one star, it deserves one star, only reason why I rated in freestyle overhear is because that it was made by the government, and the government I hate sometimes too, a child review, people calling people might call me idiot here and cracking on about stuff
au;2;I’m using an iPhone 7 with the latest IOS. I cannot get the pin code to register. Sometimes I get an error message re verifying the phone number. Other times nothing but I don’t get the code. Tried turning phone off and back on, rebooting the phone, switching off wifi, deleting and re-downloading the app, inputting phone number and without the zero. Very frustrated.
au;1;How long will it take to update the app to make it useful for iPhones? Still does not allow screen to shut down. People are not going to use it while it flattens their batteries in such a short time.
au;1;"If my iPhone is out of bluetooth range with my Apple Watch. Neither devices will pair automatically next time within range.

The phone requires a reboot, airplane mode or COVIDSafe to have bluetooth access disabled in privacy.

No thanks!"
au;3;"Since I have installed the app my apple watch keeps losing its Bluetooth connectivity to my iPhone.

I finally ended up limiting Bluetooth access for the app and my watch connects perfectly fine again.

I hope the development team find it useful."
au;3;I have activated the app but it regularly tells be that is needs to be reactivated. Not sure what the point is if it keeps turning itself off.
au;1;Watch, AirPods and Bluetooth keys have all stopped working effectively when this app is running.
au;1;Since the latest update my Apple Watch series 5 edition is no longer staying connected to my phone and as a result my watch it’s constantly going flat because it kicks into independent cell mode. After disabling Bluetooth on COVIDSafe it’s stopped happening and my watch is staying connected.
au;2;Title says it all. But in case people do not understand what it means, I will explain. The Apple implementation of COVID-19 contact tracing stores the data of randomised Bluetooth connections on the device only. At the point where you have confirmed do have contracted SARS-CoV-2, the iOS will then allow the data (that doesn’t have identifying information in it) to be connected with the national database. This will in turn alert those that have been in contact with you. The government doesn’t get to know who everyone else is or track locations. The other upside is it enables Bluetooth to function in the background so you don’t need to drain your battery with the app open all the time.
au;3;Which is not ideal.
au;4;I see the importance of this app and it’s been great. However since I downloaded it I have been having lots of Bluetooth issues. Such as my Apple Watch and my car stereo disconnecting and then I have to restart the phone for it to reconnect. Many of my friends are suffering the same issue. Hope this bug can be fixed.
au;1;"Unbelievable that such an important application wouldn’t adopt the official Apple API that would allow it to run effectively in the background.

Useless"
au;2;"After hearing about the major security flaw about how hackers can easily get into your phone and steal your data thanks to this app, I decided to delete this app

Even though the main reason this app exists is fantastic"
au;1;What on earth are you people doing? Why does this not support the contact tracing API. That was released weeks ago!! This app is useless on iPhone in its current form. Pull your heads out!
au;3;I support the app and it’s purpose, but it has been interfering with other Bluetooth services on my phone to the point they stop working until I restart the device.
au;1;"After opening the app all Bluetooth devices will stop connecting.
The only way to fix it is to reboot the iPhone but once you reopen the app again the devices will stop connecting again."
us;5;Haven’t been sick since downloading the App. Must be working.
au;1;My app keeps deactivating and every few weeks I have to re submit my details. As I get an alert stating I have not activated it!  Not sure “how safe I feel “ with this constantly happening.
au;1;The app consistently disconnects other Bluetooth connected devices such as my Fitbit. The only way to reconnect the Fitbit is to turn Bluetooth off and on again, then the app disconnects the Fitbit again. Very frustrating.
au;3;I downloaded this app the first day and I have it running in the background 24/7.  However, we keep hearing it doesn’t work on iPhones unless it’s open on an unlocked phone.  Who walks around with an unlocked phone?  Glad to see the annoying daily reminder is gone.  I wondered if that was sent because the app was in the background and now somehow a fix has been found so it works that way.  But seeing so many comments about the notification makes me suspect it was stopped to avoid losing users.  Meanwhile apparently I may as well not have the app because I don’t leave my phone unlocked unless I’m using it, and if I’m using it the app is the background anyway - either way it’s not working apparently.  And the vast majority of close contacts I have are in my workplace, where phones are illegal. Honestly I only keep the app because the government threatened to hold off reopening places unless enough of us downloaded it. This my rating has dropped from 5 to 3 stars.
au;1;As soon as I have installed this app, my iPhone Bluetooth doesnt connect to my Apple Watch via Bluetooth... I then deleted the app and then the Bluetooth connection between the two worked again... please fix
au;1;With so many allowed to protest, clearly it’s no longer required.
au;4;"Great idea.
Thought that maybe app could generate a QRcode so that restaurant and cafes could scan it for faster information collection and ease of contact tracing. It would also negate the need for written personal information."
au;1;"It is stupid to spend so much producing this application, which hardly anyone will use. Rather then just enforcing masks in public like other countries. The only reason I can think for the existence of this app is, is that it is either:
  - Intended as a safety blanket for those getting ‘anxious’ because they lack any mental resilience and can’t handle just staying the hell at home.
  - Some high level government tech illiterate thought this was a good idea."
au;1;"After the protests on the weekend it is clear the government is no longer worried about COVID19.
Nor now am I. 
App deleted."
au;1;I gave this a one star for the memes
au;5;A helpful addition to fighting COVID-19. So the latest update 1.5 does that mean they are using the Apple code to help the iPhone work better?
au;2;I updated the app but every few days it says it’s not activated and I have to put my details in again and get the code to verify my details. I’m sick of it! I have no idea if it’s actually working or not!
au;4;I Have been using this App for a long while now and I am Proud to say I never thought how affective it is Even got warned when there was someone with the Virus near Me I love this app as a Idea and has really changed my Life.
in;1;When COVID SAFE App is installed and is in background ,other BLE based app is not working at all.But the same issue is not occurring with other COVID Based apps say Arogya Sethu etc. I observed this in first hand and it causes a “serious issue.”Please fix this asap.
au;5;I have no problem with this app on my iPhone X. It sits quietly in the background and hopefully does what’s required. I’m not worried about anyone tracking me. If the government thinks my life is that important that they need to track me, they should just ask, I can give them that anytime. This app is designed to help me and others. If I was scared of third parties gaining info off me, I wouldn’t own a smart phone and I would live in Alice springs.
au;4;This app is a fantastic idea and the only reason I didn’t give it 5 stars is because it doesn’t support Apple Watch. I work in a very large hotel where we have now welcomed back guests. I very rarely have my phone on me because I have a cellular Apple Watch. If I was to come into contact with someone it wouldn’t be recorded because I don’t have my phone and there app isn’t available for Apple Watch.
au;3;"I’ve got this app running all the time because I recognise the greater importance of it. But golly it’s annoying and I’ve come within a cat’s whisker of deleting it multiple times. In fact, I’m writing this review now to distract myself while the urge to delete it dies down.
Why? It entirely breaks the Bluetooth connection between Apple Watch and the phone. As a result;
- even though I have “block all unknown callers” enabled, Apple Watch rings every single time an unknown number calls and no record of the call appears in the recents section on the phone - iPhone has no idea the call occurred!!
- music playing, fitness tracking, auto-unlock, remote cancelling of alarms; none of it works from Apple Watch
- the watch battery drains faster because it’s constantly connecting directly to the mobile network even though my phone is less than a metre from it.
If you are an Apple Watch user this app is a difficult proposition, sadly."
au;3;"The June release still doesn’t support iOS 13.5 COVID-19 exposure logging which Apple & Google developed together to help the Bluetooth communication between devices and make sure logging occurs when the app isn’t running.

Update this app Aussie health dept!"
au;1;"A new update, but still not using the API, will test for 24 hours then remove if the watch stops auto connecting.

Add: now it won’t even uninstall, stays there as a blank icon."
au;5;My sister got tested for corona and we are still waiting for the results, but I really hope that the coronavirus Sensor on this app really does work because it says that she doesn’t have the virus but I guess we will just have to wait for the results to see if the app sensor is right!
au;1;"They’ve had another week to update this to use the Apple Exposure Logging API.
New update comes in and the government developers still have not done the one thing that will make this app do what they claim.
Uninstalled again 😟"
au;1;Disappointed that the govt is pushing this app but it’s effectively useless until it integrates with your phone properly.
au;1;Asks to register my details again every time I switch my phone on. Have reinstalled app, have hit the back key as per the app’s help page with same result. I only have the app begrudgingly because I work in hospitality. Others don’t have this issue so is it 6s iPhone only?
au;1;I do not expect other iPhone users to understand that for this to work they need to leave their phone unlocked and this app only open in the screen whenever in public spaces. This app needs to adopt Apple and Google’s Exposure Notification APIs because it is the only way this idea will ever practically work.
au;5;Suggestion for improvement not everyone remember to open the app when travelling its better to send notifications as soon as they leave particular location like home, office advising to open the app.
au;3;I truly hope this works as they say it will. Having a vulnerable partner I’m concerned to hear reports this not be working properly on my iPhone. I do know that my battery seems to drain a lot faster so I am hoping that’s an indication that it is collecting data. Keeping my fingers crossed.
au;1;I’m a little confused as this app hasn’t done anything, and when I go into the app nothing happens apart from the logo spinning, is this just my phone or is this how the app is supposed to work?
au;4;All in favour of the app but the Apple Watch problem of the watch being unable to connect to the iPhone (using bluetooth) while the COVIDSafe app is running must solved. Happens irregularly but often enough to be a problem. There are quite a few people reporting the same problem on forums and the like.
au;1;"While the app is thoughtful and we should all play our part , it’s been almost a month and this app break Bluetooth functionality on iPhone period. Apple Watch , Bluetooth headphones do not sync up properly . Had to Pair and re- pair my watch every time this app launches ! 

Fix it or you will loose momentum in getting people to use this app in Australia ."
au;1;why not use iOS 13.5 Covid 19 api
au;1;👁 👁
au;5;"When I say pe you say pé

Pe 

Pe

Pe 

YEEET

He should obviously get the thneeds due to the fact that this is rare. Obviously 25% of a thneed is not enough this meaning that the thneeds will need to be altered to make it more applicable for children over the age of 18. However 25 more with cause a downfall in the market thus meaning that it will die and prices will go up. We also demand a prefix onto the start of the word thneed and we will also need a copyright signature thus causing cola thneeds. The comic is represented by thneed. Yes I am the agent. He should obviously get the thneeds due to the fact that this is rare. Obviously 25% of a thneed is not enough this meaning that the thneeds will need to be altered to make it more applicable for children over the age of 18. However 25 more with cause a downfall in the market thus meaning that it will die and prices will go up. We also demand a prefix onto the start of the word thneed and we will also need a copyright signature thus causing cola thneeds. The comic is represented by thneed. Yes I am the agent. He should obviously get the thneeds due to the fact that this is rare. Obviously 25% of a thneed is not enough this meaning that the thneeds will need to be altered to make it more applicable for children over the age of 18. However 25 more with cause a downfall in the market thus meaning that it will die and prices will go up. We also demand a prefix onto the start of the word thneed and we will also need a copyright signature thus causing cola thneeds. The comic is represented by thneed. Yes I am the agent. He should obviously get the thneeds due to the fact that this is rare. Obviously 25% of a thneed is not enough this meaning that the thneeds will need to be altered to make it more applicable for children over the age of 18. However 25 more with cause a downfall in the market thus meaning that it will die and prices will go up. We also demand a prefix onto the start of the word thneed and we will also need a copyright signature thus causing cola thneeds. The comic is represented by thneed. Yes I am the agent. He should obviously get the thneeds due to the fact that this is rare. Obviously 25% of a thneed is not enough this meaning that the thneeds will need to be altered to make it more applicable for children over the age of 18. This is soup binding a fee of 1 million dollars will be needed to terminate contract. However 25 more with cause a downfall in the market thus meaning that it will die and prices will go up. We also demand a prefix onto the start of the word thneed and we will also need a copyright signature thus causing cola thneeds. The comic is represented by thneed. By the way by reading this you have signed the contract lmao got him so you must pay 1 million dollars to cease this contract. Yes I am the agent. He should obviously get the thneeds due to the fact that this is rare. Obviously 25% of a thneed is not enough this meaning that the thneeds will need to be altered to make it more applicable for children over the age of 18. However 25 more with cause a downfall in the market thus meaning that it will die and prices will go up. We also demand a prefix onto the start of the word thneed and we will also need a copyright signature thus causing cola thneeds. The comic is represented by thneed. Yes I am the agent. 
I typed this all on my phone so yeah.

Sign here

——————-"
au;1;This app is still not working on iPhone. I am unable to turn on exposure logging in my settings. Apple says this is not an authorised app and tells me to uninstall it.  This app is not doing what it says it should be doing.   If you have iPhone. Make sure you have the latest iOS 13.5.  In settings. Privacy. Bluetooth. Turn on exposure logging will be at the top. If you can’t turn it on the app is NOT working.
au;1;The app did not use the latest iOS COVID-19 api
au;4;Should work on the Apple Watch too
au;1;"Just letting everyone know Bill Gates loves you all and will soon have a vaccine.
How do i know this? Well he wears a pink sweater"
au;3;I have had the app open on my phone for days but I just got a notice to say it has not been active. When I checked it was still open. Is this a bug? How do I know if it’s working or not?
au;1;"More government rubbish.
Destroys my battery life, has continual nags about running it, interferes with my apple watch and has only ever been used by the health dept. once. Yes once 😂
What a joke. They told us restrictions would be eased if people downloaded it. LIES LIES LIES.
The coders need to slap each other in the face for writing such cr@p.

Deleted 0*"
au;2;This app has caused my Apple Watch to disconnect from my iPhone constantly. The only way to reconnect is by turning Bluetooth off and on. Since deleting the app haven’t had an issue.
au;3;App was fine when first released however have recently found it interferes with Fitbit linking when operating. Have to constantly disconnect app to allow other devices to sync. Not as convinced as once was that the app is worth persisting with. Waiting to see if next update addresses Bluetooth on iPhone otherwise will only turn on when I remember.
