sep=,
Daterange: 2020-05-13 – 2020-06-12,From: 2020-03-14,Ext_id: 1509242894,To: 2020-06-12
Date,AppID,AppName,Country,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Tags,Categories,Notes,Likes,Dislikes,Link,Permalink,AF Link
"2020-06-12 08:08:48","1509242894","COVIDSafe","au","1.5","Bsgsosnsvalsnsg","2","RIP my phone battery","Good idea but is chewing severely through the battery life on my phone.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6065991647","https://appfollow.io/app/745570/review/221711942","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=221711942"
"2020-06-12 07:17:37","1509242894","COVIDSafe","au","1.5","yo ho yo ho yo","1","I have downloaded and installed","Still major issues in kicking out other blue tooth connected devices.  I still have it running as a public duty but the devs need to sort it out.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6065875401","https://appfollow.io/app/745570/review/221711941","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=221711941"
"2020-06-12 06:07:31","1509242894","COVIDSafe","au","1.5","tick-tock hater","3","Get your stuff deleted alright will never ever ever get this up again","Well use John Support Apple Watch, and then use do a mega giant of my battery? And then it’s does not support sun with Apple, and then you want to send a verification code to my phone number? No way, everyone away right this stupid ass one star, it deserves one star, only reason why I rated in freestyle overhear is because that it was made by the government, and the government I hate sometimes too, a child review, people calling people might call me idiot here and cracking on about stuff",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6065716053","https://appfollow.io/app/745570/review/219862853","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=219862853"
"2020-06-12 05:43:55","1509242894","COVIDSafe","au","1.5","Fuzzeu","2","Can’t register","I’m using an iPhone 7 with the latest IOS. I cannot get the pin code to register. Sometimes I get an error message re verifying the phone number. Other times nothing but I don’t get the code. Tried turning phone off and back on, rebooting the phone, switching off wifi, deleting and re-downloading the app, inputting phone number and without the zero. Very frustrated.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6065663301","https://appfollow.io/app/745570/review/216449299","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=216449299"
"2020-06-12 02:07:57","1509242894","COVIDSafe","au","1.5","Chrir","1","iphone","How long will it take to update the app to make it useful for iPhones? Still does not allow screen to shut down. People are not going to use it while it flattens their batteries in such a short time.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6065161548","https://appfollow.io/app/745570/review/216814507","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=216814507"
"2020-06-11 13:27:20","1509242894","COVIDSafe","au","1.5","deceit","1","Prevents Apple Watch pairing","If my iPhone is out of bluetooth range with my Apple Watch. Neither devices will pair automatically next time within range.

The phone requires a reboot, airplane mode or COVIDSafe to have bluetooth access disabled in privacy.

No thanks!",,,,,,,,,"1",,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6063040519","https://appfollow.io/app/745570/review/221607196","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=221607196"
"2020-06-11 11:25:16","1509242894","COVIDSafe","au","1.5","Ealia_AU","3","Bug report!","Since I have installed the app my apple watch keeps losing its Bluetooth connectivity to my iPhone.

I finally ended up limiting Bluetooth access for the app and my watch connects perfectly fine again.

I hope the development team find it useful.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6062623898","https://appfollow.io/app/745570/review/221607195","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=221607195"
"2020-06-11 04:15:55","1509242894","COVIDSafe","au","1.5","GreenieMummy","3","Keeps asking to reactivate the app","I have activated the app but it regularly tells be that is needs to be reactivated. Not sure what the point is if it keeps turning itself off.",,,,,,,,,,,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6061463222","https://appfollow.io/app/745570/review/221568661","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=221568661"
"2020-06-11 00:45:20","1509242894","COVIDSafe","au","1.5","addersubtractor","1","Breaks other Bluetooth accessories","Watch, AirPods and Bluetooth keys have all stopped working effectively when this app is running.",,,,,,,,,"1",,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6060928481","https://appfollow.io/app/745570/review/221552627","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=221552627"
"2020-06-10 03:57:36","1509242894","COVIDSafe","au","1.5","Zrgrvty","1","Started killing Bluetooth to watch","Since the latest update my Apple Watch series 5 edition is no longer staying connected to my phone and as a result my watch it’s constantly going flat because it kicks into independent cell mode. After disabling Bluetooth on COVIDSafe it’s stopped happening and my watch is staying connected.",,,,,,,,,"1",,"https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/1509242894/activity/ios/ratingsResponses?reviewId=6057261450","https://appfollow.io/app/745570/review/221325672","https://watch.appfollow.io/apps/untitled-collection/reviews/336783?review_id=221325672"
